UserID,subscriber_status,Gender,Race,email_flag,smh_flag,Age_brackets,Province,Channel,watch_date,dayname,monthname,watch_time,hour_of_day,day_classification,day_type,duration,screen_time
939566,Subscriber,male,Other,1,1,Adult,Mpumalanga,Live Event,2016-01-09,Sat,Jan,15:40:00,15,03. Afternoon,Weekend,00:22:02,Short
808926,Subscriber,male,coloured,1,1,Adult,Western Cape,Trace TV,2016-02-02,Tue,Feb,10:17:00,10,02. Morning,Weekday,00:01:06,Short
808928,Subscriber,male,black,1,1,Adult,Gauteng,Channel O,2016-02-13,Sat,Feb,19:35:00,19,04. Evening,Weekend,00:05:30,Short
808929,Subscriber,female,black,1,1,Adult,Eastern Cape,Cartoon Network,2016-01-24,Sun,Jan,18:35:00,18,04. Evening,Weekend,01:32:32,Long
808930,Subscriber,male,indian_asian,1,1,Adult,Limpopo,ICC Cricket World Cup 2011,2016-02-23,Tue,Feb,15:26:00,15,03. Afternoon,Weekday,00:00:08,Short
1281997,Subscriber,female,coloured,1,1,Teenage,Free State,Cartoon Network,2016-02-20,Sat,Feb,16:51:00,16,03. Afternoon,Weekend,00:00:35,Short
808934,Subscriber,male,indian_asian,1,1,Older Adult,Kwazulu Natal,Trace TV,2016-03-06,Sun,Mar,12:38:00,12,03. Afternoon,Weekend,00:04:57,Short
771796,Subscriber,male,coloured,1,1,Adult,Western Cape,SuperSport Blitz,2016-02-05,Fri,Feb,15:17:00,15,03. Afternoon,Weekday,00:27:14,Short
771796,Subscriber,male,coloured,1,1,Adult,Western Cape,Live Event,2016-02-06,Sat,Feb,16:18:00,16,03. Afternoon,Weekend,00:00:18,Short
2406478,Subscriber,male,Other,1,1,Older Adult,Eastern Cape,Live Event,2016-03-26,Sat,Mar,13:50:00,13,03. Afternoon,Weekend,00:07:00,Short
586459,Subscriber,male,black,1,1,Adult,Free State,Cartoon Network,2016-01-02,Sat,Jan,09:49:00,9,02. Morning,Weekend,00:05:10,Short
808948,Subscriber,female,coloured,1,1,Older Adult,Western Cape,SuperSport Blitz,2016-02-11,Thu,Feb,05:04:00,5,01. Late Night,Weekday,00:02:00,Short
939607,Subscriber,male,indian_asian,1,1,Adult,Limpopo,ICC Cricket World Cup 2011,2016-03-30,Wed,Mar,11:56:00,11,02. Morning,Weekday,00:00:46,Short
808950,Subscriber,male,black,1,1,Teenage,Free State,Channel O,2016-02-18,Thu,Feb,13:02:00,13,03. Afternoon,Weekday,00:01:06,Short
808950,Subscriber,male,black,1,1,Teenage,Free State,Live Event,2016-03-06,Sun,Mar,14:41:00,14,03. Afternoon,Weekend,00:00:16,Short
